cultivos,evaluacion_definitiva_semestre_a2013_area_sembr_ha,evaluacion_definitiva_semestre_a2013_area_cosech_ha,evaluacion_definitiva_semestre_a2013_produc_ton,evaluacion_definitiva_semestre_a2013_rendim_tha,evaluacion_definitiva_semestre_a2013_precio_al_producr_ton,evaluacion_definitiva_semestre_a2013_costos_de_produc_ha,evaluacion_definitiva_semestre_a2013_calific_rendim_ento_a,evaluacion_definitiva_semestre_a2013_m,evaluacion_definitiva_semestre_a2013_b,semestre_b2013_area_sembr_ha,semestre_b2013_area_cosech_ha,semestre_b2013_produc_esperad_ton,semestre_b2013_rendim_tha,semestre_b2013_precio_al_producr_ton,semestre_b2013_costos_de_produc_ha,consolidado_evaluacion_ano_2013_area_sembr_ha,consolidado_evaluacion_ano_2013_area_cosech_ha,consolidado_evaluacion_ano_2013_esperad_ton,consolidado_evaluacion_ano_2013_produc_rendim_tha,consolidado_evaluacion_ano_2013_del_produc,consolidado_evaluacion_ano_2013_estado_precio_al_producr_ton,consolidado_evaluacion_ano_2013_costos_de_produc_ha,pronostico_semestre_a2014_area_sembr_ha,pronostico_semestre_a2014_area_cosech_ha,pronostico_semestre_a2014_esperad_ton,pronostico_semestre_a2014_produc_tha,ano_vigencia
maiz tec. blanco,2149,2003,7322.6999999999998,3.65586620069895,950000,3006166.3065995499,,,,1921,1835,6715.3000000000002,3.659564032697548,924999.99999999988,3006166.3065995462,4070,3838,14038,3.657634184471079,G-SECO,937500,3006166.3065995472,0,0,0,0,2011
habichuela,422,414.5,3089.1999999999998,7.45283474065139,951032.62980707001,3866587.67772512,,,,404.5,393.5,2941.1500000000001,7.47433290978399,1091023.0692076231,4105300,826.5,808,6030.3500000000004,7.463304455445545,VERDE,1021027.8495073465,3985943.8388625593,420,420,3239.1999999999998,7.712380952380952,2008
pepino cohom,8,8,120.5,15.0625,316680.49792531098,2931250,,,,5,5,66,13.199999999999999,298181.81818181818,2950000,13,13,186.5,14.346153846153847,FRUTA,307431.15805356472,5881250,9,9,133,14.777777777777779,2007
algodon,817.44000000000005,802.00999999999999,1849.8643199999999,2.30653523023404,2288000,6138534.0640789997,,,,0,0,0,0,0,0,817.44000000000005,802.00999999999999,1849.8643199999997,2.306535230234036,SEMILLA,2288000.0000000005,6138534.0640790015,0,0,0,0,2012
pimenton,181,176.5,1299.6500000000001,7.36345609065156,1400000,4300000,,,,184,184,1337.5,7.269021739130435,1381955.1401869161,4500000,365,360.5,2637.1500000000001,7.315256588072122,FRUTA,1390977.5700934581,4400000,191,191,1438.5,7.531413612565445,2009
pepino cohom,71,65,713,10.9692307692308,641000,5025000,,,,63,60,625,10.416666666666666,672000,5024999.9999999991,134,125,1338,10.704000000000001,FRUTA,656500,10050000,0,0,0,0,2014
habichuela,380,289.5,2046.4000000000001,7.06873920552677,991204.06567630998,4466368.4210526301,,,,238.5,218,1513.3000000000002,6.941743119266056,1066247.8688957908,4519000,618.5,507.5,3559.6999999999998,7.014187192118226,VERDE,1028725.9672860501,4492684.2105263155,169,169,1208.7,7.15207100591716,2009
algodon,1301,1301,3474.2682500000001,2.6704598385857,1987981.6542879201,5327000,,,,0,0,0,0,0,0,1301,1301,3474.2682500000001,2.670459838585703,SEMILLA,1987981.6542879208,5327000,500,500,1444,2.888,2008
arveja,963,840,4661.3999999999996,5.54928571428571,2138994.72261552,4566000,,,,856.5,810.5,4320.8900000000003,5.331141270820481,1992341.7397804616,4580999.9999999991,1819.5,1650.5,8982.2900000000009,5.442162980914874,VERDE,2065668.2311979923,4573500,679,679,3879,5.712812960235641,2009
tomate mesa,777,755.29999999999995,12593.4,16.6733748179531,986000,14830156.7101986,,,,662,631.5,10420,16.500395882818687,750000,14830156.710198553,1439,1386.8,23013.400000000001,16.594606287856937,VERDE,868000,14830156.710198555,0,0,0,0,2013
sandia,94,94,1759.5,18.718085106383,355521.45495879499,2650000,,,,109.5,109.5,2336.25,21.335616438356166,343520.5992509363,2682600,203.5,203.5,4095.75,20.126535626535627,FRUTA,349521.02710486564,2666300,83,83,1682,20.265060240963855,2008
